City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Torbay,CA,47.6666,-52.7314,56.28,72,73,8.01,broken clouds
158,Takoradi,GH,4.8845,-1.7554,78.15,78,95,11.88,overcast clouds
159,Biskamzha,RU,53.4497,89.5272,38.98,91,23,1.63,few clouds
160,Evensk,RU,61.95,159.2333,46.38,93,100,8.28,moderate rain
161,Dunedin,NZ,-45.8742,170.5036,49.8,90,84,3,broken clouds
162,Yulara,AU,-25.2406,130.9889,58.48,40,0,8.16,clear sky
163,Tocopilla,CL,-22.092,-70.1979,63.01,67,4,11.36,clear sky
164,Hasaki,JP,35.7333,140.8333,63,87,100,25.55,light rain
165,Luderitz,NA,-26.6481,15.1594,66.34,45,0,12.95,clear sky
166,Cidreira,BR,-30.1811,-50.2056,67.32,72,53,11.3,broken clouds
167,Cherskiy,RU,68.75,161.3,38.37,43,100,10.56,overcast clouds
168,Kavieng,PG,-2.5744,150.7967,80.82,80,99,10.47,light rain
169,Pangai,TO,-19.8,-174.35,75.81,81,25,20.67,light rain
170,Rawson,AR,-43.3002,-65.1023,48.85,95,100,10.98,light rain
171,Sooke,CA,48.3746,-123.7276,66.18,41,0,6.91,clear sky
172,Port Alfred,ZA,-33.5906,26.891,62.19,79,73,9.89,broken clouds
173,Lata,PT,40.1629,-8.3327,88.92,47,11,8.72,few clouds
174,Bethel,US,41.3712,-73.414,76.01,66,40,4,scattered clouds
175,Canyon,US,34.9803,-101.9188,84.52,52,4,19.33,clear sky
176,Airai,TL,-8.9266,125.4092,59.68,92,67,2.95,broken clouds
177,Nyurba,RU,63.2842,118.3319,32.88,92,100,6.4,overcast clouds
178,Amapa,BR,1,-52,97.32,31,4,4.54,clear sky
179,Fairlie,GB,55.756,-4.8556,64.4,75,26,3,scattered clouds
180,Karpathos,GR,35.507,27.2132,76.96,61,0,19.57,clear sky
181,Chachapoyas,PE,-6.2317,-77.869,69.94,44,6,1.1,clear sky
